,feature,importance
0,P_2,0.1626387
73,D_75,0.02281533
8,D_42,0.0144407265
24,B_9,0.014284276
5,S_3,0.011227275
175,D_135,0.010655737
127,S_23,0.009976136
54,B_18,0.0099585345
47,D_61,0.009844225
11,B_4,0.009355301
9,D_43,0.00932448
2,B_1,0.009214484
12,D_45,0.009199804
138,B_37,0.008949214
31,B_11,0.008933657
3,B_2,0.008831684
39,D_56,0.00869351
69,B_23,0.008586392
50,D_62,0.00852369
7,B_3,0.008510752
4,R_1,0.008082869
156,D_119,0.008043837
64,B_22,0.007941009
10,D_44,0.007834667
100,B_29,0.0076077427
25,R_3,0.0076064365
30,S_5,0.007570133
140,R_27,0.0073817237
22,D_50,0.007179782
101,B_30,0.007170633
77,D_77,0.007138346
171,D_132,0.007122622
17,D_48,0.0070849457
82,R_8,0.006980073
26,D_52,0.006775757
20,B_7,0.006753773
132,D_103,0.006649903
16,D_47,0.006618147
6,D_41,0.006604752
139,R_26,0.0063948287
68,S_15,0.0063203536
169,D_130,0.006131054
74,D_76,0.006109247
65,D_70,0.006071519
193,D_64_O,0.006067849
49,S_11,0.005933737
15,D_46,0.005834649
116,D_89,0.0058067995
147,D_112,0.005764225
115,B_33,0.0057593575
36,B_12,0.0057567805
129,S_25,0.0057311626
121,D_93,0.00565713
53,B_17,0.0055656517
159,D_122,0.0054794387
92,R_12,0.0054697874
134,D_105,0.005465515
14,R_2,0.0053436453
176,D_136,0.0052821897
179,D_139,0.0052813054
13,B_5,0.0052192933
93,B_28,0.005179593
32,S_6,0.005164343
35,S_7,0.0051615755
18,D_49,0.005075099
150,D_113,0.0049348148
21,B_8,0.004902092
62,B_21,0.004886919
88,B_27,0.004883215
41,R_5,0.0048514404
99,R_16,0.0048514344
51,D_65,0.0048442613
126,S_22,0.0047772634
43,S_9,0.0047156364
181,D_141,0.004667667
131,D_102,0.004579168
165,D_128,0.0045786635
42,D_58,0.004425719
38,D_55,0.0044224476
106,R_18,0.0044166013
177,D_137,0.0044064443
81,D_79,0.0044006244
90,D_82,0.004296721
1,D_39,0.0042484887
130,S_26,0.0041323346
75,B_24,0.0041251825
122,D_94,0.004121522
52,B_16,0.0040918095
46,D_60,0.004089404
172,D_133,0.004073858
61,S_13,0.0040688403
59,S_12,0.00403701
162,D_125,0.0040175603
184,D_144,0.0040052324
170,D_131,0.0039963746
67,D_72,0.0039349017
44,B_14,0.0038927991
117,R_22,0.0038922445
123,R_24,0.0038782097
86,R_10,0.0038708232
112,S_20,0.0038244703
136,D_107,0.0037994673
113,R_20,0.0037680268
148,B_40,0.0037600803
89,D_81,0.003669476
98,D_84,0.0036681085
155,D_118,0.0036623678
83,R_9,0.0036595
120,D_92,0.0036249752
164,D_127,0.0035821022
71,P_4,0.0035575675
80,D_78,0.0035395247
56,D_66,0.0034214004
118,R_23,0.0034166968
66,D_71,0.0033799238
57,B_20,0.003352619
84,S_16,0.0033288766
45,D_59,0.0033171773
161,D_124,0.0033029777
23,D_51,0.0032679897
105,R_17,0.0032064656
27,P_3,0.0031821404
143,D_109,0.0031733639
167,B_41,0.0031305284
160,D_123,0.0030681177
29,D_53,0.0030672546
102,S_18,0.0030233162
158,D_121,0.0030221783
76,R_7,0.0029665767
128,S_24,0.002964592
33,D_54,0.0029178977
40,B_13,0.002881371
37,S_8,0.002780786
63,D_69,0.0027611624
94,R_13,0.0027581977
91,S_17,0.002746439
97,R_15,0.002736288
166,D_129,0.0027341137
109,S_19,0.0027296804
149,S_27,0.0027079561
180,D_140,0.0027014683
95,D_83,0.0026912736
87,R_11,0.0026862936
125,D_96,0.0026222654
55,B_19,0.002574727
137,B_36,0.0025502772
96,R_14,0.0025439335
110,R_19,0.0025360195
133,D_104,0.0025219733
103,D_86,0.0025194853
79,B_26,0.002497413
152,D_115,0.0024622395
114,R_21,0.0024567945
124,R_25,0.0023243255
48,B_15,0.002314215
183,D_143,0.0022971358
135,D_106,0.0022891352
119,D_91,0.0022014517
60,R_6,0.0021345173
19,B_6,0.00212861
111,B_32,0.0021210245
34,R_4,0.0020009761
141,B_38,0.0019678434
185,D_145,0.0018111842
28,B_10,0.0017515206
173,R_28,0.0017456264
78,B_25,0.001737795
72,D_74,0.0017070664
182,D_142,0.0014528668
85,D_80,0.0011132049
154,D_117,0.000800785
58,D_68,0.0007818149
163,D_126,0.0005938226
157,D_120,0.00044424715
187,D_63_CO,0.0
192,D_64_-1,0.0
194,D_64_R,0.0
186,D_63_CL,0.0
191,D_63_XZ,0.0
189,D_63_XL,0.0
188,D_63_CR,0.0
190,D_63_XM,0.0
151,D_114,0.0
178,D_138,0.0
174,D_134,0.0
168,B_42,0.0
153,D_116,0.0
107,D_88,0.0
146,B_39,0.0
145,D_111,0.0
144,D_110,0.0
142,D_108,0.0
70,D_73,0.0
104,D_87,0.0
108,B_31,0.0
195,D_64_U,0.0
